Iteration,Discriminator Loss,Generator Loss
0,0.616575,0.787189
10,0.302759,1.325503
20,0.043680,3.126640
30,0.005142,5.208789
40,0.001519,6.846893
50,0.001726,7.311294
60,0.008028,6.617660
70,0.022015,6.188972
80,0.062681,5.433874
90,0.632839,2.194705
100,1.545615,1.214562
110,0.812354,1.169371
120,1.860019,15.565384
130,0.942155,6.372285
140,0.871678,3.011676
150,1.639598,1.481246
160,0.840779,0.461304
170,3.392275,9.166876
180,0.527351,5.102387
190,0.791379,9.389307
200,1.208168,8.343976
210,2.217953,6.235998
220,2.389547,4.280854
230,2.843384,3.745902
240,3.045433,4.308375
250,3.599204,4.438592
260,5.907439,3.766740
270,5.548375,4.887687
280,4.451955,5.297562
290,4.813201,4.653390
300,4.238359,4.523884
310,4.249192,3.270694
320,4.041461,3.568991
330,3.776594,2.839832
340,3.565060,2.759544
350,3.406493,2.635583
360,3.321209,2.544891
370,3.208199,2.370425
380,2.922245,2.158658
390,2.872453,2.178328
400,2.733884,2.197490
410,2.629555,2.188238
420,2.549122,1.904226
430,2.437078,1.938600
440,2.406307,1.892308
450,2.245723,1.832458
460,2.115912,1.701448
470,2.135787,1.725250
480,2.143271,1.754783
490,2.026646,1.673040
500,1.937639,1.623070
510,1.937392,1.602999
520,1.886510,1.538326
530,1.849807,1.499005
540,1.794079,1.450734
550,1.736101,1.436197
560,1.722254,1.350775
570,1.688328,1.348584
580,1.663242,1.310117
590,1.631488,1.272586
600,1.612797,1.237892
610,1.569587,1.181290
620,1.537831,1.154292
630,1.534816,1.117183
640,1.518844,1.134364
650,1.479610,1.041412
660,1.479058,1.044414
670,1.452943,1.024640
680,1.430271,0.910705
690,1.398170,0.874588
700,1.398808,0.851985
710,1.386436,0.773661
720,1.371944,0.742493
730,1.384913,0.747856
740,1.385803,0.686312
750,1.374111,0.669306
760,1.378769,0.647482
770,1.376367,0.640298
780,1.367629,0.640870
790,1.371737,0.646103
800,1.375617,0.622099
810,1.356262,0.605675
820,1.371160,0.610845
830,1.380018,0.633487
840,1.371747,0.623466
850,1.374430,0.656658
860,1.374460,0.635757
870,1.374500,0.649726
880,1.362137,0.641692
890,1.367769,0.633627
900,1.362469,0.620292
910,1.369731,0.613388
920,1.366338,0.657085
930,1.353294,0.680681
940,1.369769,0.665640
950,1.365113,0.643090
960,1.364660,0.652679
970,1.372237,0.596454
980,1.378776,0.663410
